min,max,mean,year,adm3_pcode
0.6881245970726013,0.6881245970726013,0.6881245970726013,2020-01-16T00:00:00.000000000,ET030715
,,,2020-01-16T00:00:00.000000000,ET030716
,,,2020-01-16T00:00:00.000000000,ET030717
1.017043113708496,1.017043113708496,1.017043113708496,2020-01-16T00:00:00.000000000,ET030718
,,,2020-01-16T00:00:00.000000000,ET030719
,,,2020-01-16T00:00:00.000000000,ET030720
,,,2020-01-16T00:00:00.000000000,ET030797
,,,2020-01-16T00:00:00.000000000,ET030798
,,,2020-01-16T00:00:00.000000000,ET030799
1.2266942262649536,1.2266942262649536,1.2266942262649536,2020-01-16T00:00:00.000000000,ET030801
,,,2020-01-16T00:00:00.000000000,ET030802
,,,2020-01-16T00:00:00.000000000,ET030803
,,,2020-01-16T00:00:00.000000000,ET030804
1.195068359375,1.195068359375,1.195068359375,2020-01-16T00:00:00.000000000,ET030805
,,,2020-01-16T00:00:00.000000000,ET030806
,,,2020-01-16T00:00:00.000000000,ET030807
0.788789689540863,0.788789689540863,0.788789689540863,2020-01-16T00:00:00.000000000,ET030808
,,,2020-01-16T00:00:00.000000000,ET030809
0.6230196356773376,0.6230196356773376,0.6230196356773376,2020-01-16T00:00:00.000000000,ET030901
,,,2020-01-16T00:00:00.000000000,ET030902
,,,2020-01-16T00:00:00.000000000,ET030903
,,,2020-01-16T00:00:00.000000000,ET030904
,,,2020-01-16T00:00:00.000000000,ET030905
0.7905662059783936,0.7905662059783936,0.7905662059783936,2020-01-16T00:00:00.000000000,ET030906
,,,2020-01-16T00:00:00.000000000,ET030907
0.4515678286552429,0.4515678286552429,0.4515678286552429,2020-01-16T00:00:00.000000000,ET030908
,,,2020-01-16T00:00:00.000000000,ET030909
,,,2020-01-16T00:00:00.000000000,ET030910
,,,2020-01-16T00:00:00.000000000,ET030911
,,,2020-01-16T00:00:00.000000000,ET030912
,,,2020-01-16T00:00:00.000000000,ET030996
,,,2020-01-16T00:00:00.000000000,ET030997
,,,2020-01-16T00:00:00.000000000,ET030998
,,,2020-01-16T00:00:00.000000000,ET030999
0.9649251103401184,0.9649251103401184,0.9649251103401184,2020-01-16T00:00:00.000000000,ET031001
,,,2020-01-16T00:00:00.000000000,ET031002
,,,2020-01-16T00:00:00.000000000,ET031003
,,,2020-01-16T00:00:00.000000000,ET031004
,,,2020-01-16T00:00:00.000000000,ET031005
,,,2020-01-16T00:00:00.000000000,ET031006
,,,2020-01-16T00:00:00.000000000,ET031007
,,,2020-01-16T00:00:00.000000000,ET031008
,,,2020-01-16T00:00:00.000000000,ET031099
,,,2020-01-16T00:00:00.000000000,ET031103
,,,2020-01-16T00:00:00.000000000,ET031104
,,,2020-01-16T00:00:00.000000000,ET031105
,,,2020-01-16T00:00:00.000000000,ET031106
1.1232351064682007,1.1232351064682007,1.1232351064682007,2020-01-16T00:00:00.000000000,ET031107
1.3327049016952515,1.3327049016952515,1.3327049016952515,2020-01-16T00:00:00.000000000,ET031108
